topics,pulsarId,week_tag
China,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Credit Suisse,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Southeast Asia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Malaysia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Sabah,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
European Union,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
East Malaysia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
ASEAN,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Maxis Communications,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Sarawak,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Kota Kinabalu,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Kuching,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Asia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Ukraine,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Russia,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Switzerland,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Infrastructure,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Politics,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
Economies,0_87317_16_389da59453d253148d19fbc9acd49018,from 2022-12-08 to 2022-12-14
